ICD9_Code,ICD10_Code
2081,C951
2082,C959
2088,C959
2089,C959
20900,C7A019
20901,C7A010
20902,C7A011
20903,C7A012
20910,C7A029
20911,C7A020
20912,C7A021
20913,C7A022
20914,C7A023
20915,C7A024
20916,C7A025
20917,C7A026
20920,C7A00
20921,C7A090
20922,C7A091
20923,C7A092
20924,C7A093
20925,C7A094
20926,C7A095
20927,C7A096
20929,C7A098
20930,C7A1
20931,C4A3
20932,C4A4
20933,C4A6
20934,C4A7
20935,C4A5
20936,C4A9
20936,C4A8
20970,C7B00
20971,C7B01
20972,C7B02
20973,C7B03
20974,C7B04
20975,C7B1
20979,C7B09
2250,D332
2251,D333
2252,D320
2253,D334
2254,D321
2258,D337
2259,D339
2273,D352
2274,D354
22802,D1802
2281,D181
2300,D000
2301,D001
2302,D002
2303,D010
2305,D013
2306,D013
2307,D0149
2308,D015
2309,D019
2310,D020
2311,D021
2312,D022
2318,D023
2319,D024
2320,D040
2321,D041
2322,D042
2323,D043
2324,D044
2325,D045
2326,D046
2327,D047
2328,D048
2329,D049
2330,D05
2331,D069
2332,D070
23330,D0730
23331,D072
23332,D071
23339,D0739
2334,D075
2335,D074
2336,D076
2337,D090
2339,D091
2340,D092
2348,D097
2349,D099
2370,D443
2371,D445
2373,D447
2375,D432
2376,D42
23770,Q8500
23771,Q8501
23772,Q8502
23773,Q8503
23779,Q8509
2379,D437
2380,D480
2381,D482
2384,D45
2386,C902
23871,D473
23872,D464
23873,D4620
23874,D46C
23875,D469
23876,D474
23877,D4721
23879,D47Z9
2392,D492
2396,D496
2397,D497
25801,E3120
25802,E3122
25803,E3123
2592,E340
2733,C880
27788,E883
28411,D61810
2853,D6481
2883,D721
28983,D7581
3383,G893
37751,H4742
37752,H4742
37761,H4752
37771,H4763
42099,J3131
4466,M3111
5080,J700
5081,J701
51181,J910
52801,K1231
538,K9281
5581,K520
56944,K6282
56949,K627
59582,N3040
6060,N4604
6061,N46124
60784,N5231
6489,O9A11
6556,O356
69282,L589
7371,M962
73733,M965
76078,P0411
78079,R530
78951,R180
79093,R9721
9631,T451
990,T66
99685,T8600
99981,T80810
99982,T80818
99988,T8082
E8580,T389
E8581,T458
E8582,T458
E8732,Y632
E8792,Y842
E9307,T451
E9331,T451
V0751,Z79810
V0752,Z79811
V0759,Z79818
V1000,Z8500
V1001,Z85810
V1002,Z85818
V1003,Z8501
V1004,Z85028
V1005,Z85038
V1006,Z85048
V1007,Z8505
V1009,Z8509
V1011,Z85118
V1012,Z8512
V1020,Z8520
V1021,Z8521
V1022,Z8522
V1029,Z8529
V103,Z853
V1040,Z8540
V1041,Z8541
V1042,Z8542
V1043,Z8543
V1044,Z8544
V1045,Z8545
V1046,Z8546
V1047,Z8547
V1048,Z8548
V1049,Z8549
V1050,Z8550
V1051,Z8551
V1052,Z8552
V1053,Z8553
V1059,Z8559
V1060,Z856
V1061,Z856
